QueryNumber;QueryText
1;WHAT ARE THE EFFECTS OF CALCIUM ON THE PHYSICAL PROPERTIES OF MUCUS FROM CF PATIENTS?
2;CAN ONE DISTINGUISH BETWEEN THE EFFECTS OF MUCUS HYPERSECRETION AND INFECTION ON THE SUBMUCOSAL GLANDS OF THE RESPIRATORY TRACT IN CF?
3;HOW ARE SALIVARY GLYCOPROTEINS FROM CF PATIENTS DIFFERENT FROM THOSE OF NORMAL SUBJECTS?
4;WHAT IS THE LIPID COMPOSITION OF CF RESPIRATORY SECRETIONS?
5;IS CF MUCUS ABNORMAL?
6;WHAT IS THE EFFECT OF WATER OR OTHER THERAPEUTIC AGENTS ON THE PHYSICAL PROPERTIES (VISCOSITY, ELASTICITY) OF SPUTUM OR BRONCHIAL SECRETIONS FROM CF PATIENTS?
7;ARE MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY IN CF PATIENTS AS COMPARED TO THOSE FROM NORMAL SUBJECTS?
8;WHAT HISTOCHEMICAL DIFFERENCES HAVE BEEN DESCRIBED BETWEEN NORMAL AND CF RESPIRATORY EPITHELIA?
9;WHAT IS THE ASSOCIATION BETWEEN LIVER DISEASE (CIRRHOSIS) AND VITAMIN A METABOLISM IN CF?
10;WHAT IS THE ROLE OF VITAMIN E IN THE THERAPY OF PATIENTS WITH CF?
11;WHAT IS THE DIFFERENCE BETWEEN MECONIUM ILEUS AND MECONIUM PLUG SYNDROME?
12;WHAT ABNORMALITIES OF AMINO ACID TRANSPORT HAVE BEEN DESCRIBED IN THE SMALL BOWEL OF CF PATIENTS?
13;WHAT ARE THE CLINICAL OR BIOCHEMICAL FEATURES OF PANCREATITIS IN CF PATIENTS?
14;WHAT NON-INVASIVE TESTS CAN BE PERFORMED FOR THE EVALUATION OF EXOCRINE PANCREATIC FUNCTION IN PATIENTS WITH CF?
15;WHAT ARE THE HEPATIC COMPLICATIONS OR MANIFESTATIONS OF CF?
16;WHAT ARE THE GASTROINTESTINAL COMPLICATIONS OF CF AFTER THE NEONATAL PERIOD (EXCLUDE LIVER DISEASE AND MECONIUM ILEUS)?
17;WHAT IS THE MOST EFFECTIVE REGIMEN FOR THE USE OF PANCREATIC ENZYME SUPPLEMENTS IN THE TREATMENT OF CF PATIENTS?
18;IS DIETARY SUPPLEMENTATION WITH BILE SALTS OF THERAPEUTIC BENEFIT TO CF PATIENTS?
19;WHAT COMPLICATIONS OF PANCREATIC ENZYME THERAPY HAVE BEEN REPORTED IN CF PATIENTS?
20;WHAT IS THE EFFECT OF TREATMENT OF CF PATIENTS WITH ESSENTIAL FATTY ACID SUPPLEMENTS?
21;DOES PANCREATIC INSUFFICIENCY IN CF PATIENTS AFFECT THEIR ABILITY TO ABSORB OR METABOLIZE IRON?
22;WHAT IS THE FREQUENCY OF CF IN NON-CAUCASIAN POPULATIONS?
23;WHAT CONGENITAL OR HEREDITARY DISEASES OR CONDITIONS HAVE BEEN FOUND IN ASSOCIATION WITH CF?
24;WHAT ARE THE CHARACTERISTICS OF PATIENTS IN WHOM CF IS INCOMPLETELY MANIFESTED?
25;WHAT EVIDENCE IS THERE THAT THE GENETIC BASIS FOR CF INVOLVES MORE THAN ONE GENE?
26;WHAT IS THE HETEROZYGOTE ADVANTAGE IN CF?
27;WHAT IS THE CONCORDANCE OF CLINICAL OR BIOCHEMICAL MANIFESTATIONS OF CF IN SIBLING PAIRS (BOTH OF WHOM HAVE CF)?
28;WHAT IS THE INCIDENCE OF MALE FERTILITY IN CF?
29;WHAT IS THE PATHOLOGY OF THE REPRODUCTIVE SYSTEM (MALE OR FEMALE) IN CF?
30;WHAT ARE THE RESULTS OF GENETIC COUNSELING OF FAMILIES OF CHILDREN WITH CF?
31;WHAT ARE THE MAJOR PSYCHOLOGICAL OR SOCIAL EFFECTS OF CF ON PATIENTS AND THEIR FAMILIES?
32;WHAT FACTORS INFLUENCE COMPLIANCE WITH PRESCRIBED THERAPY IN CF PATIENTS?
33;WHAT CONDITIONS OR FACTORS LEAD TO ERRONEOUS SWEAT TESTS?
34;WHAT ALTERNATIVE TECHNIQUES OTHER THAN THE CLASSICAL GIBSON-COOKE QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST (WITH TITRIMETRIC ANALYSIS OF CHLORIDE) ARE AVAILABLE FOR SWEAT TESTING WHAT ARE THEIR RELATIVE ADVANTAGES AND DISADVANTAGES?
35;HAS ANY CF PATIENT BEEN FOUND TO HAVE CONSISTENTLY NORMAL SWEAT TESTS?
36;WHAT IS THE CONCENTRATION OF POTASSIUM IN SWEAT FROM CF PATIENTS?
37;WHAT TECHNIQUES ARE AVAILABLE FOR SCREENING OF NEWBORN INFANTS FOR CF, AND WHAT FACTORS CONTRIBUTE TO ERRONEOUS RESULTS OF THESE TESTS?
38;CAN CF BE DIAGNOSED PRENATALLY?
39;HOW MAY HETEROZYGOTES FOR CF BE IDENTIFIED?
